anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,demographics,studios
40639,Tonari no Ie no Anette-san The Animation,ova,Average,2607,finished_airing,1,Non-Original,5784,26,rx,False,2020,winter,Hentai,None,Seven
41918,Juan Siliang,ona,High,425,finished_airing,15,original,1294,27,pg_13,True,2021,spring,Action,None,Wulifang Digital
11073,Pokemon Introductory Recap,movie,Average,4985,finished_airing,1,Non-Original,10692,4,pg,True,1998,summer,Fantasy,Kids,OLM
3437,Mister Ajikko,tv,High,979,finished_airing,99,Non-Original,4328,10,g,True,1987,fall,Comedy,Shounen,Sunrise
12449,Maken-Ki! Specials,special,Average,13285,finished_airing,6,Non-Original,30131,18,r+,True,2011,fall,Ecchi,None,AIC Spirits
39471,Hime-sama Love Life!,ova,Average,2602,finished_airing,4,Non-Original,6897,14,rx,False,2019,spring,Hentai,None,PoRO
43353,Bear Bear Bear Kuma!,ona,Average,3153,finished_airing,12,Non-Original,6824,18,pg_13,True,2020,fall,Comedy,None,EMT Squared
29705,Shoujo Kyouiku,ova,Average,4115,finished_airing,2,Non-Original,9870,20,rx,False,2015,spring,Hentai,None,Studio Eromatick
10851,Euphoria,ova,Average,40946,finished_airing,6,Non-Original,74525,674,rx,False,2011,fall,Hentai,None,Majin
50917,Prima Doll,tv,Average,1786,currently_airing,12,Non-Original,14634,49,pg_13,True,2022,summer,Sci-Fi,None,Bibury Animation Studios
39728,Eden (ONA),ona,Average,6326,finished_airing,4,original,15277,34,pg_13,True,2021,spring,Fantasy,None,Qubic Pictures
23115,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru,special,Average,2039,finished_airing,1,Non-Original,7800,5,pg_13,True,2014,winter,Comedy,None,NAZ
3345,Mikan Enikki,tv,High,754,finished_airing,30,Non-Original,2724,22,g,True,1992,fall,Comedy,Shoujo,Nippon Animation
7739,11eyes: Momoiro Genmutan,special,Average,22805,finished_airing,1,Non-Original,39382,23,r+,True,2010,spring,Comedy,None,Doga Kobo
2818,Madou King Granzort,tv,High,686,finished_airing,41,original,2207,15,g,True,1989,spring,Action,Shounen,Sunrise
24271,Paizuri Cheerleader vs. Sakunyuu Ouendan!,ova,Average,2360,finished_airing,1,Non-Original,6223,12,rx,False,2014,summer,Hentai,None,T-Rex
2570,Ochame na Futago: Claire Gakuin Monogatari,tv,High,1006,finished_airing,26,Non-Original,2618,3,g,True,1991,winter,Comedy,Kids,TMS Entertainment
42892,Baraou no Souretsu,tv,Average,8908,finished_airing,24,Non-Original,49400,323,pg_13,True,2022,winter,Action,Shoujo,J.C.Staff
2586,Soukou Kihei Votoms: Kakuyaku taru Itan,ova,Average,1390,finished_airing,5,original,3320,5,pg_13,True,1994,winter,Drama,None,Sunrise
