,anime_id,studios
457,6702,"['Satelight', 'A-1 Pictures']"
458,36885,['CloverWorks']
459,14353,['Madhouse']
460,34944,['Bones']
461,28725,['A-1 Pictures']
462,8525,['Manglobe']
463,9289,['P.A. Works']
464,33095,['Studio Deen']
465,37435,['Bones']
466,34437,['Sunrise']
467,31859,['A-1 Pictures']
468,39196,['Bandai Namco Pictures']
469,154,['Xebec']
470,6351,['Kyoto Animation']
471,49114,['Bones']
472,38481,['J.C.Staff']
473,138,['Nippon Animation']
474,34591,['Shuka']
475,18897,['Shaft']
476,30727,['A-1 Pictures']
477,264,['Madhouse']
478,28927,['Wit Studio']
479,3927,['Sunrise']
480,139,['Nippon Animation']
481,21329,['Artland']
482,329,['Sunrise']
483,1689,['CoMix Wave Films']
484,10521,['A-1 Pictures']
485,1033,['Madhouse']
486,37786,['TROYCA']
487,40262,['Production I.G']
488,36028,['Geno Studio']
489,120,['Studio Deen']
490,15039,['A-1 Pictures']
491,30230,"['Production I.G', 'Madhouse']"
492,6213,['J.C.Staff']
493,30885,['Bones']
494,38084,['CloverWorks']
495,6033,['Toei Animation']
496,18179,['TMS Entertainment']
497,40046,['NAZ']
498,28121,['J.C.Staff']
499,40059,['Geno Studio']
500,18195,['J.C.Staff']
501,4107,['Gainax']
502,12113,['Studio 4°C']
503,10721,"[""Brain's Base""]"
504,12413,['White Fox']
505,8516,['SILVER LINK.']
506,29093,['8bit']
507,33051,['Sunrise']
508,32729,['Telecom Animation Film']
509,2605,['Shaft']
510,34542,['MAPPA']
511,15227,['MAPPA']
512,20767,['Bones']
513,24439,['Bones']
514,39486,['Bandai Namco Pictures']
515,36106,['Wit Studio']
516,8795,['Gainax']
517,3782,['ufotable']
518,5690,['J.C.Staff']
519,49721,['Shin-Ei Animation']
520,4280,['ufotable']
521,31490,['Toei Animation']
522,36474,['A-1 Pictures']
523,1827,['Production I.G']
524,4477,['J.C.Staff']
525,36896,['Bones']
526,387,['Radix']
527,40729,['TMS Entertainment']
528,19111,['Sunrise']
529,137,['Nippon Animation']
530,39597,['A-1 Pictures']
531,22961,['Production IMS']
532,2924,['Shaft']
533,202,['Bones']
534,239,['Gonzo']
535,530,['Toei Animation']
536,846,['Studio Comet']
537,40221,['Telecom Animation Film']
538,31765,['A-1 Pictures']
539,28677,['LIDENFILMS']
540,38080,['Platinum Vision']
541,34902,['Studio Gokumi']
542,13331,['White Fox']
543,31704,['Madhouse']
544,597,['Studio Ghibli']
545,21405,"[""Brain's Base""]"
546,37379,['Madhouse']
547,22507,['SynergySP']
548,16,['J.C.Staff']
549,43523,['C2C']
550,6956,['A-1 Pictures']
551,13667,['Pierrot']
552,9919,['A-1 Pictures']
553,20159,"['Production I.G', 'Xebec', 'OLM']"
554,3091,['Production I.G']
555,3785,['Khara']
556,372,['Madhouse']
557,1430,['Tokyo Movie Shinsha']
558,40397,['Doga Kobo']
559,24277,['TMS Entertainment']
560,23321,['Studio Deen']
561,31772,['Madhouse']
562,33502,"['Satelight', 'C2C']"
563,3167,['Studio Rikka']
564,317,['Square Enix']
565,22265,"['Kyoto Animation', 'Animation Do']"
566,21877,['J.C.Staff']
567,71,['Gonzo']
568,187,['Studio Deen']
569,18671,['Kyoto Animation']
570,32542,['Studio Deen']
571,12431,['A-1 Pictures']
572,38349,"['A-1 Pictures', 'Lapin Track']"
573,265,['Madhouse']
574,5530,['Xebec']
575,39575,"['Satelight', 'HORNETS']"
576,226,['Arms']
577,10049,['Studio Deen']
578,11111,['P.A. Works']
579,37141,['David Production']
580,15,['Gallop']
581,28957,['Artland']
582,10012,['Lerche']
583,17389,['Pierrot']
584,24765,['Lerche']
585,28249,"['SANZIGEN', 'LIDENFILMS']"
586,6421,['Bones']
587,30370,['Pierrot']
588,22199,['White Fox']
589,10218,['Studio 4°C']
590,8408,"[""Brain's Base""]"
591,15059,['SynergySP']
592,6007,"[""Brain's Base"", 'Marvy Jack']"
593,12403,['Doga Kobo']
594,2952,['Square Enix']
595,26243,['Wit Studio']
596,440,['J.C.Staff']
597,31764,['Madhouse']
598,5941,['SynergySP']
599,40174,['MAPPA']
600,543,['Madhouse']
601,2104,"['Gonzo', 'AIC']"
602,10029,['Studio Ghibli']
603,721,['Hal Film Maker']
604,6347,['SILVER LINK.']
605,9941,['Sunrise']
606,11123,['Studio Deen']
607,34134,['J.C.Staff']
608,210,['Studio Deen']
609,49909,['LIDENFILMS']
610,14227,"[""Brain's Base""]"
611,6862,['Kyoto Animation']
612,15451,['TNK']
613,323,['Madhouse']
614,39570,['J.C.Staff']
615,322,['Madhouse']
616,21339,['Production I.G']
617,34914,['Doga Kobo']
618,24687,['Artland']
619,528,['OLM']
620,31715,['A-1 Pictures']
621,36038,['Signal.MD']
622,1142,['J.C.Staff']
623,35363,['Kyoto Animation']
624,41433,['Pierrot']
625,44931,['Seven Arcs']
626,8675,['GoHands']
627,37078,"['Tencent Animation & Comics', 'China Literature Limited', 'Colored Pencil Animation']"
628,4789,['Shaft']
629,135,['Pierrot']
630,150,['Production I.G']
631,22,['Trans Arts']
632,31953,['Doga Kobo']
633,44055,['Studio Deen']
634,38790,['SILVER LINK.']
635,18617,['Actas']
636,8937,['J.C.Staff']
637,1571,['J.C.Staff']
638,4106,['Madhouse']
639,10620,['asread.']
640,2593,['ufotable']
641,24997,['Sunrise']
642,10161,['Bones']
643,18661,['TMS Entertainment']
644,627,['Studio Hibari']
645,20847,['GoHands']
646,4814,['Studio Deen']
647,33988,['A-1 Pictures']
648,35972,"['A-1 Pictures', 'Bridge', 'CloverWorks']"
649,30296,"['SILVER LINK.', 'Nexus']"
650,33253,['Polygon Pictures']
651,270,['Gonzo']
652,38659,['White Fox']
653,31174,['Pierrot']
654,19489,['Trigger']
655,2685,['Production I.G']
656,12031,['Pierrot']
657,532,['Toei Animation']
