,anime_id,type,score,scored_by,episodes,source,rating,sfw,start_season
8308,7561,tv,5,1587,12.0,Non-Original,pg,True,winter
8309,12905,ova,6,375,1.0,Non-Original,g,True,fall
8310,39721,ona,5,1458,1.0,original,g,True,spring
8311,11469,ova,5,1384,2.0,original,rx,False,fall
8312,1115,ova,5,1555,1.0,Non-Original,pg_13,True,winter
8313,32222,movie,6,540,1.0,Non-Original,g,True,fall
8314,34758,ova,5,1522,1.0,Non-Original,rx,False,winter
8315,6992,ona,6,727,1.0,original,pg_13,True,summer
8316,37980,ona,5,1010,36.0,Non-Original,pg,True,summer
8317,33021,tv,4,4809,12.0,Non-Original,pg_13,True,spring
8318,49848,special,5,893,1.0,Non-Original,pg_13,True,summer
8319,41567,movie,6,221,1.0,original,pg_13,True,spring
8320,40035,movie,6,329,1.0,Non-Original,g,True,winter
8321,38065,special,5,1051,1.0,original,g,True,spring
8322,1338,ova,5,2532,2.0,Non-Original,r,True,spring
8323,49098,ona,6,136,20.0,Non-Original,pg_13,True,spring
8324,28911,special,6,336,1.0,Non-Original,pg_13,True,spring
8325,3301,ova,6,771,4.0,Non-Original,rx,False,summer
8326,1386,ova,5,1701,2.0,Non-Original,rx,False,summer
8327,20469,movie,6,257,1.0,original,g,True,spring
8328,10736,ona,6,674,1.0,original,g,True,spring
8329,42223,ova,5,1561,2.0,Non-Original,rx,False,summer
8330,5006,movie,6,597,1.0,original,g,True,winter
8331,49223,ona,5,1156,8.0,Non-Original,rx,False,winter
8332,5933,special,6,287,1.0,Non-Original,g,True,spring
8333,3812,tv,6,318,26.0,original,pg,True,fall
8334,31044,tv,6,530,139.0,original,pg,True,fall
8335,4540,special,5,1847,1.0,original,pg_13,True,summer
8336,2249,ova,5,2178,1.0,original,r,True,summer
8337,3557,ova,5,937,2.0,original,rx,False,fall
8338,37736,ona,5,1301,2.0,original,pg_13,True,winter
8339,1647,ova,4,4113,2.0,Non-Original,r+,True,fall
8340,730,ova,5,3376,2.0,Non-Original,r+,True,spring
8341,34239,ona,6,501,6.0,Non-Original,pg_13,True,fall
8342,14479,ova,5,2927,1.0,Non-Original,pg_13,True,spring
8343,33806,special,6,430,9.0,original,pg_13,True,summer
8344,6422,ova,5,1294,2.0,Non-Original,rx,False,spring
8345,4356,ova,5,1185,2.0,Non-Original,rx,False,fall
8346,36797,tv,5,934,12.0,original,pg,True,winter
8347,5129,tv,6,375,26.0,original,pg,True,spring
8348,5210,ova,5,1159,1.0,Non-Original,rx,False,summer
8349,18205,tv,5,886,12.0,Non-Original,g,True,spring
8350,7571,special,6,450,1.0,Non-Original,pg_13,True,summer
8351,7479,tv,6,205,47.0,Non-Original,pg_13,True,fall
8352,40693,ona,6,463,1.0,Non-Original,pg_13,True,fall
8353,36588,ona,6,179,5.0,original,g,True,summer
8354,3147,movie,6,462,1.0,Non-Original,pg_13,True,summer
8355,1759,ova,5,1732,1.0,Non-Original,r,True,fall
8356,23761,ova,5,1225,3.0,Non-Original,rx,False,spring
8357,5235,tv,6,245,51.0,Non-Original,pg,True,fall
8358,33702,ona,6,425,10.0,Non-Original,r,True,fall
8359,36875,ona,5,1700,1.0,Non-Original,pg_13,True,winter
8360,7691,ova,6,668,1.0,Non-Original,pg_13,True,fall
8361,37112,movie,6,390,1.0,Non-Original,g,True,winter
8362,38412,ona,6,301,12.0,original,g,True,summer
8363,31923,movie,6,652,2.0,original,pg_13,True,fall
8364,7667,movie,6,431,1.0,Non-Original,pg_13,True,winter
8365,2049,ova,5,795,2.0,Non-Original,pg_13,True,winter
8366,46171,ona,6,441,2.0,Non-Original,pg_13,True,spring
8367,7453,special,5,1825,3.0,original,r+,True,summer
8368,2466,ova,6,556,1.0,original,pg,True,fall
8369,31578,tv,4,4280,26.0,original,pg_13,True,fall
