anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,themes,demographics,studios,producers
1147,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,ova,7,5088,finished_airing,1.0,original,11030,14,pg_13,True,2005.0,summer,"['Action', 'Comedy', 'Sci-Fi']","['Harem', 'Space']",['Shounen'],['AIC'],['VAP']
38034,Tiny Evil,ova,7,7837,finished_airing,4.0,Non-Original,16072,98,rx,False,2018.0,summer,"['Hentai', 'Supernatural']",[],[],['Majin'],[]
971,Astro Boy: Tetsuwan Atom,tv,7,10130,finished_airing,50.0,Non-Original,21073,109,g,True,2003.0,spring,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Super Power']","['Kids', 'Shounen']",['Tezuka Productions'],"['Sony Pictures Entertainment', 'Dentsu', 'Mill Creek Entertainment']"
20423,Kamisama no Inai Nichiyoubi: Kioku,special,6,14487,finished_airing,1.0,Non-Original,27714,19,r,True,2014.0,winter,"['Fantasy', 'Mystery']",[],[],['Madhouse'],[]
958,HeatGuy J,tv,7,6385,finished_airing,25.0,original,17335,62,pg_13,True,2002.0,fall,"['Action', 'Adventure', 'Sci-Fi']","['Detective', 'Mecha']",[],['Satelight'],"['Bandai Visual', 'TBS']"
37516,City Hunter Movie: Shinjuku Private Eyes,movie,7,3077,finished_airing,1.0,Non-Original,10220,24,pg_13,True,2019.0,winter,"['Action', 'Comedy', 'Mystery']",[],['Shounen'],['Sunrise'],"['Aniplex', 'Audio Planning U']"
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,movie,6,67195,finished_airing,1.0,Non-Original,108623,21,pg_13,True,1991.0,winter,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],['Shounen'],['Toei Animation'],[]
2125,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,ova,7,4801,finished_airing,2.0,Non-Original,12178,9,pg_13,True,1994.0,summer,"['Action', 'Adventure', 'Supernatural']",[],['Shounen'],['Pierrot'],[]
20909,Kyoukai no Kanata: Mini Gekijou,special,6,14422,finished_airing,7.0,original,39928,34,pg_13,True,2014.0,winter,"['Slice of Life', 'Supernatural']",[],[],['Kyoto Animation'],"['Lantis', 'Pony Canyon']"
3859,Top Secret: The Revelation,tv,7,4024,finished_airing,26.0,Non-Original,18136,70,r+,True,2008.0,spring,"['Mystery', 'Sci-Fi']","['Detective', 'Psychological']",['Shoujo'],['Madhouse'],['VAP']
5670,GA: Geijutsuka Art Design Class,tv,7,6536,finished_airing,12.0,Non-Original,19051,73,pg_13,True,2009.0,summer,"['Comedy', 'Slice of Life']","['CGDCT', 'School', 'Visual Arts']",['Seinen'],['AIC PLUS+'],"['AIC', 'Houbunsha', 'Studio Jack']"
13377,Recorder to Randoseru Re♪,tv,6,16431,finished_airing,13.0,Non-Original,28531,7,pg_13,True,2012.0,spring,"['Comedy', 'Slice of Life']",['School'],['Seinen'],['Seven'],['Takeshobo']
8068,Kuroshitsuji Picture Drama,special,7,7278,finished_airing,1.0,Non-Original,21238,46,pg_13,True,2010.0,winter,['Supernatural'],['Mythology'],[],['A-1 Pictures'],[]
30243,Gakuen de Jikan yo Tomare,ova,7,9508,finished_airing,4.0,Non-Original,21439,165,rx,False,2015.0,spring,['Hentai'],[],[],['Suzuki Mirano'],[]
37087,Overlord: Ple Ple Pleiades 2,ona,6,16878,finished_airing,13.0,Non-Original,34556,24,pg_13,True,2018.0,winter,"['Action', 'Comedy', 'Fantasy']",['Isekai'],[],['Studio PuYUKAI'],[]
9618,Asobi ni Iku yo!: Asobi ni Oide,ova,6,22751,finished_airing,1.0,Non-Original,44188,43,r+,True,2011.0,spring,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",['Harem'],[],['AIC PLUS+'],"['AIC', 'Lantis', 'Media Factory', 'Pony Canyon', 'AT-X', 'KlockWorx']"
2013,Taiho Shichau zo The Movie,movie,7,3372,finished_airing,1.0,Non-Original,7918,10,pg_13,True,1999.0,spring,"['Action', 'Comedy', 'Drama']","['Adult Cast', 'Detective', 'Workplace']",['Shounen'],['Studio Deen'],"['Bandai Visual', 'Victor Entertainment', 'TBS']"
21177,Nobunaga the Fool,tv,6,37089,finished_airing,24.0,Non-Original,95176,157,r,True,2014.0,winter,"['Action', 'Sci-Fi']","['Historical', 'Mecha']",[],['Satelight'],"['TV Tokyo', 'Sotsu', 'Lantis', 'Media Factory']"
9063,Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,ova,6,18680,finished_airing,1.0,Non-Original,39142,21,pg_13,True,2010.0,summer,"['Comedy', 'Ecchi']",[],[],['J.C.Staff'],[]
20649,Kimi no Iru Machi OVA,ova,7,8561,finished_airing,2.0,Non-Original,18178,15,r+,True,2014.0,winter,"['Drama', 'Romance', 'Slice of Life']",[],['Shounen'],['Gonzo'],[]
17831,Inu to Hasami wa Tsukaiyou,tv,6,65698,finished_airing,12.0,Non-Original,137125,258,pg_13,True,2013.0,summer,"['Comedy', 'Supernatural']",[],[],['Gonzo'],"['Avex Entertainment', 'DLE', 'Enterbrain', 'Studio Mausu', 'Xing']"
1045,Elf wo Karu Mono-tachi,tv,7,9955,finished_airing,12.0,Non-Original,23881,42,pg_13,True,1996.0,fall,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']",['Isekai'],['Shounen'],"['Group TAC', 'Amuse']","['Sotsu', 'Showgate']"
48780,Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,movie,7,2125,finished_airing,1.0,Non-Original,26245,401,pg_13,True,2021.0,fall,"['Boys Love', 'Comedy', 'Drama']",[],[],['CloverWorks'],[]
2117,Shin Captain Tsubasa,ova,7,6448,finished_airing,13.0,Non-Original,11429,15,g,True,1989.0,summer,"['Action', 'Sports']",['Team Sports'],['Shounen'],['Nippon Animation'],"['Studio Comet', 'Nihon Ad Systems', 'Fuji TV']"
2390,Hoshi no Kirby,tv,6,14978,finished_airing,100.0,Non-Original,29160,267,pg,True,2001.0,fall,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Parody'],[],"['Studio Comet', 'Studio Sign']","['CBC Television', 'Nintendo']"
6165,White Album 2nd Season,tv,6,19454,finished_airing,13.0,Non-Original,47428,62,pg_13,True,2009.0,fall,"['Drama', 'Romance']","['Harem', 'Idols (Female)', 'Music']",[],['Seven Arcs'],[]
34915,The iDOLM@STER SideM,tv,7,6044,finished_airing,13.0,Non-Original,20092,122,pg_13,True,2017.0,fall,[],"['Idols (Male)', 'Music']",[],['A-1 Pictures'],"['Aniplex', 'Lantis', 'Bandai Namco Live Creative', 'Bandai Namco Entertainment', 'ABC Animation']"
14199,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,tv,6,128949,finished_airing,12.0,Non-Original,278929,431,r+,True,2012.0,fall,"['Comedy', 'Ecchi', 'Romance']","['Harem', 'School']",[],['SILVER LINK.'],"['Lantis', 'Media Factory', 'AT-X', 'DAX Production', 'Cospa', 'Sony Music Communications']"
9865,Hetalia Axis Powers Fan Disc,ova,7,5081,finished_airing,1.0,Non-Original,13072,19,pg_13,True,2010.0,spring,['Comedy'],"['Historical', 'Parody']",[],['Studio Deen'],['Frontier Works']
