anime_id,genres,type,episodes,source,rating,start_year,start_season,demographics,score,scored_by,members,favorites
636,Adventure,tv,13,original,pg_13,2004,winter,Shounen,Average,4074,10392,17
13595,Hentai,ova,2,Non-Original,rx,2012,spring,None,Average,4625,11133,70
16914,Hentai,ova,2,Non-Original,rx,2013,winter,None,Average,3502,8942,29
5968,Action,tv,13,Non-Original,pg_13,2006,winter,Shounen,Average,3010,6107,4
41221,Comedy,ona,24,Non-Original,pg_13,2021,spring,None,High,1047,4516,34
10923,Comedy,special,1,original,pg_13,2011,summer,None,Average,3159,6875,2
40256,Action,ona,12,Non-Original,r,2019,summer,None,Average,18650,36386,93
38030,Hentai,ona,2,original,rx,2018,summer,None,Average,3929,8273,55
3710,Horror,tv,11,Non-Original,pg_13,2008,winter,None,Average,3675,11018,39
17113,Adventure,movie,1,Non-Original,g,2013,spring,Seinen,High,2455,4190,3
10862,Comedy,special,8,Non-Original,pg_13,2010,spring,Shounen,High,1861,5366,3
1841,Comedy,special,4,Non-Original,pg_13,2006,winter,None,Average,4296,7712,2
20843,Comedy,special,2,original,pg_13,2014,winter,None,Average,3886,9892,8
2161,Action,tv,13,Non-Original,pg_13,2007,spring,None,Average,8249,29404,61
495,Adventure,tv,26,Non-Original,r,1995,fall,Shounen,Average,6554,19703,42
1896,Hentai,ova,3,Non-Original,rx,2004,spring,None,Average,6279,15053,78
1180,Action,tv,25,Non-Original,r,1997,spring,None,High,2825,9749,38
12055,Hentai,ova,2,Non-Original,rx,2012,spring,None,Average,7073,16023,65
4600,Hentai,ova,4,Non-Original,rx,2007,summer,None,Average,5181,13137,85
32228,Comedy,tv,12,Non-Original,pg_13,2016,winter,Shounen,Average,8206,15217,12
704,Drama,special,1,Non-Original,g,2003,spring,None,Average,5894,13174,3
10808,Action,tv,49,original,pg_13,2011,fall,None,Average,14028,29807,54
3125,Comedy,tv,34,Non-Original,pg,1982,fall,Shoujo,High,2144,8471,37
2427,Adventure,movie,1,Non-Original,g,1981,winter,Kids,High,2112,5066,30
472,Drama,tv,13,Non-Original,pg,1999,spring,None,Average,9221,25125,53
30583,Girls Love,ova,1,Non-Original,rx,2015,spring,None,Average,7008,14229,73
44961,Drama,tv,24,Non-Original,r,2021,fall,Shounen,Average,104488,328730,2539
5072,Action,special,1,original,pg_13,2008,summer,None,Average,4136,9169,2
42568,Slice of Life,tv,12,Non-Original,pg_13,2021,spring,None,Average,13373,41332,129
5772,Comedy,special,1,Non-Original,r+,2009,spring,None,Average,21147,38595,30
15719,Comedy,special,1,Non-Original,pg_13,2012,fall,None,Average,3132,9531,5
37585,Boys Love,ova,2,Non-Original,r+,2018,summer,None,Average,53232,93079,790
11615,Comedy,tv,13,Non-Original,pg_13,2011,fall,None,Average,6968,12759,5
1935,Action,ova,4,original,r+,1985,winter,None,Average,4555,18202,64
1798,Comedy,ova,1,original,pg_13,2004,winter,None,Average,3262,5645,2
8560,Romance,ova,2,Non-Original,pg_13,2010,spring,Shoujo,Average,15755,32007,80
942,Comedy,tv,13,Non-Original,pg_13,2006,spring,None,Average,5813,17743,47
46985,Adventure,tv,12,Non-Original,pg_13,2021,fall,None,Average,67314,134067,863
31670,Adventure,tv,13,Non-Original,pg,2016,spring,Kids,High,1997,4695,12
38663,Action,ona,12,Non-Original,r,2020,winter,None,Average,14304,32921,66
33069,Sci-Fi,special,1,Non-Original,r,2016,summer,Seinen,Average,7678,17352,7
2810,Drama,tv,39,Non-Original,g,1991,spring,Kids,High,2379,5283,18
38971,Supernatural,special,1,Non-Original,r,2013,winter,None,Average,3877,10455,11
1445,Adventure,tv,52,Non-Original,pg_13,1967,spring,Shounen,Average,6890,13863,101
47163,Action,tv,12,Non-Original,pg_13,2022,summer,None,Average,11361,95254,863
2555,Drama,tv,43,Non-Original,g,1988,winter,None,High,1335,3957,11
278,Action,tv,51,Non-Original,pg_13,2004,fall,Shounen,Average,5009,10878,31
6709,Comedy,special,1,Non-Original,pg_13,2002,spring,None,Average,4730,10286,6
1517,Action,tv,26,Non-Original,pg_13,1998,winter,None,Average,4455,13285,36
35498,Hentai,ova,1,original,rx,2017,spring,None,Average,6019,12533,116
31049,Action,tv,51,Non-Original,pg,2016,spring,Kids,Average,15823,26546,141
9335,Comedy,ova,4,Non-Original,pg_13,2010,fall,Shounen,Average,6712,13959,11
6682,Action,tv,12,Non-Original,r,2009,fall,None,Average,122084,225952,425
7014,Drama,movie,1,Non-Original,r,2011,spring,None,Average,2913,8637,14
38799,Action,ona,12,Non-Original,r,2020,spring,Seinen,Average,8830,30181,58
38530,Adventure,movie,1,Non-Original,pg,2019,winter,Kids,High,1675,3320,9
1082,Comedy,tv,24,original,pg_13,2004,winter,None,Average,4688,13913,25
42808,Action,tv,13,Non-Original,r,2022,winter,None,Average,5230,16365,143
2734,Action,ova,1,Non-Original,r,2003,summer,None,High,2195,4399,11
2611,Comedy,movie,2,original,g,1972,fall,Kids,Average,4927,9642,21
24591,Comedy,movie,1,Non-Original,g,2014,fall,Kids,Average,3222,5424,9
7079,Action,tv,12,Non-Original,pg_13,2010,winter,None,Average,30158,70533,85
5155,Drama,tv,11,Non-Original,r+,2009,winter,None,Average,3421,13611,18
39875,Supernatural,Non-Original,1,Non-Original,g,2019,spring,None,High,1255,2468,1
1864,Drama,tv,12,Non-Original,pg_13,2007,winter,Shoujo,Average,3151,10281,26
125,Comedy,tv,13,original,pg_13,2004,fall,None,Average,15579,33769,23
637,Comedy,tv,16,Non-Original,r+,1999,winter,Seinen,Average,9011,18142,25
1143,Adventure,special,1,original,pg_13,2003,winter,None,Average,10892,22463,6
20033,Comedy,tv,13,original,g,2013,fall,None,Average,21508,47166,48
37979,Action,tv,12,Non-Original,r,2019,winter,Seinen,Average,25164,75840,120
31804,Comedy,tv,12,Non-Original,pg_13,2016,spring,Seinen,Average,29731,71336,79
28155,Action,tv,12,original,pg_13,2015,winter,None,Average,12481,30828,31
6892,Hentai,ova,2,Non-Original,rx,2009,summer,None,Average,4468,10554,59
23369,Comedy,special,1,Non-Original,pg_13,2012,summer,None,Average,6064,14897,9
21407,Action,tv,49,original,g,2014,winter,Shoujo,Average,4011,10561,54
1020,Action,ova,3,Non-Original,r,2004,summer,Shoujo,Average,3895,10110,24
23427,Comedy,special,1,Non-Original,pg_13,2014,winter,None,Average,14714,24810,8
24377,Hentai,ova,2,Non-Original,rx,2014,summer,None,Average,3325,8282,19
1489,Comedy,special,3,original,r+,2006,spring,None,Average,3323,6991,4
40526,Comedy,tv,12,Non-Original,pg_13,2021,spring,Shounen,Average,17965,48508,170
36516,Action,tv,20,Non-Original,pg_13,2018,winter,None,Average,50054,160891,453
118,Adventure,ova,4,original,pg_13,1997,winter,None,Average,4086,8541,6
31675,Comedy,ova,3,Non-Original,pg_13,2014,summer,Shounen,Average,6184,19867,22
31397,Hentai,ova,6,Non-Original,rx,2015,fall,None,Average,3712,9986,49
133,Comedy,tv,12,Non-Original,r+,2003,summer,None,Average,64796,112956,217
14827,Drama,tv,13,Non-Original,pg_13,2013,winter,None,Average,11078,28742,36
17637,Slice of Life,ona,10,Non-Original,pg_13,2013,spring,None,Average,11057,23065,27
11009,Adventure,movie,1,Non-Original,pg,2006,spring,Kids,Average,3694,9370,16
42284,Action,ona,16,Non-Original,pg_13,2020,summer,None,High,1328,2919,31
1104,Comedy,tv,13,original,r+,2004,spring,None,Average,3136,7775,7
1922,Action,movie,1,Non-Original,pg_13,1985,winter,None,Average,2915,6760,9
1022,Action,tv,12,original,pg_13,1998,fall,Shounen,Average,3356,9002,27
40176,Ecchi,special,1,original,pg_13,2019,summer,None,Average,12095,23252,32
42072,Adventure,tv,12,Non-Original,pg_13,2022,winter,None,Average,34119,88087,568
10471,Adventure,special,3,Non-Original,pg,1997,spring,None,High,1023,2272,4
10739,Action,special,1,original,r,2011,spring,None,Average,19339,36386,51
11467,Hentai,ova,2,Non-Original,rx,2011,fall,None,Average,7914,16746,135
1514,Comedy,ova,6,Non-Original,pg_13,2005,spring,None,Average,2981,6849,5
37814,Sports,special,1,Non-Original,g,2018,winter,None,Average,2755,5743,3
1873,Action,tv,37,Non-Original,pg_13,1983,summer,Shounen,High,1175,3491,20
40228,Comedy,tv,13,original,g,2019,fall,Kids,Average,6845,13320,31
497,Adventure,tv,13,Non-Original,r+,2003,fall,None,Average,10053,28028,102
36010,Hentai,ova,1,Non-Original,rx,2017,fall,None,Average,4247,9146,41
1186,Action,tv,26,original,pg,1997,fall,Shounen,Average,3162,8708,35
49661,Sci-Fi,ona,1,Non-Original,g,2021,summer,None,High,884,2956,11
15565,Action,tv,10,Non-Original,r+,2014,winter,None,Average,65424,140319,149
10348,Sci-Fi,tv,13,original,g,2011,spring,None,Average,4313,7879,18
1116,Drama,movie,1,Non-Original,g,1995,winter,None,High,2068,5944,8
2331,Action,tv,26,original,g,1981,fall,None,High,2140,5187,25
38050,Comedy,special,3,original,pg_13,2018,fall,None,Average,2858,7062,6
35434,Romance,tv,12,Non-Original,pg_13,2017,summer,None,Average,32043,89480,117
